"id","priority","available","path"
"P001","P0","True","02_literature\papers\P0_must_read\01_AndroidWorld.pdf"
"P002","P0","True","02_literature\papers\P0_must_read\02_PG-Agent.pdf"
"P003","P0","True","02_literature\papers\P0_must_read\03_HAR-GUI.pdf"
"P004","P0","True","02_literature\papers\P0_must_read\04_ProBench.pdf"
"P005","P0","True","02_literature\papers\P0_must_read\05_MP-GUI.pdf"
"P006","P0","True","02_literature\papers\P0_must_read\06_LAMO.pdf"
"P007","P0","True","02_literature\papers\P0_must_read\07_HyMEM.pdf"
"P008","P0","True","02_literature\papers\P0_must_read\08_MAGNET.pdf"
"P009","P0","True","02_literature\papers\P0_must_read\09_UI-Copilot.pdf"
"P010","P0","True","02_literature\papers\P0_must_read\10_D-Artemis.pdf"
"P011","P0","True","02_literature\papers\P0_must_read\11_ReMe.pdf"
"P012","P0","True","02_literature\papers\P0_must_read\12_Mobile-Agent-v2.pdf"
"P013","P0","True","02_literature\papers\P0_must_read\13_ChartAccessMobile.pdf"
"P014","P0","True","02_literature\papers\P0_must_read\14_Dual-branch-RAG-GUI.pdf"
"P015","P0","True","02_literature\papers\P0_must_read\15_AAA-Web-Accessibility-Copilot.pdf"
"P016","P1","True","02_literature\papers\P1_core\16_SeeClick.pdf"
"P017","P1","True","02_literature\papers\P1_core\17_Mobile-Agent-v3.5.pdf"
"P018","P1","True","02_literature\papers\P1_core\18_MobileUse.pdf"
"P019","P1","True","02_literature\papers\P1_core\19_GUI-Critic-R1.pdf"
"P020","P1","True","02_literature\papers\P1_core\20_Agent-S.pdf"
"P021","P1","True","02_literature\papers\P1_core\21_Agent-S2.pdf"
"P022","P1","True","02_literature\papers\P1_core\22_Agent-Workflow-Memory.pdf"
"P023","P1","True","02_literature\papers\P1_core\23_CoMEM.pdf"
"P024","P2","False","02_literature\papers\P2_extended\24_LiMAC.pdf"
"P025","P2","False","02_literature\papers\P2_extended\25_DistRL.pdf"
"P026","P2","False","02_literature\papers\P2_extended\26_R-VLM.pdf"
"P027","P2","False","02_literature\papers\P2_extended\27_HiconAgent.pdf"
"P028","P2","False","02_literature\papers\P2_extended\28_SimpAgent.pdf"
"P029","P2","False","02_literature\papers\P2_extended\29_ReasoningBank.pdf"
"P030","P2","False","02_literature\papers\P2_extended\30_UI-Evol.pdf"
"P031","P2","False","02_literature\papers\P2_extended\31_GUI-KV.pdf"
"P032","P2","False","02_literature\papers\P2_extended\32_Mobile-Agent-E.pdf"
"P033","P2","False","02_literature\papers\P2_extended\33_Mobile-Agent-v3.pdf"
"P034","P2","False","02_literature\papers\P2_extended\34_UI-S1.pdf"
"P035","P2","False","02_literature\papers\P2_extended\35_iSHIFT.pdf"
"P036","P2","False","02_literature\papers\P2_extended\36_ToolCUA.pdf"
"P037","P2","False","02_literature\papers\P2_extended\37_AppAgent.pdf"
