"candidate_id","system_name","official_repo","commit_audited","local_state_2026_08_05","androidworld_path","comparison_lane","default_model_or_interface","reproduction_label","blocking_item"
"F00","AndroidWorld_M3A","https://github.com/google-research/android_world","3e50888527ef9f29b9157ecd537e408008bb1c85","ready","03_code/third_party/android_world","native_system","paper/default provider","configuration-equivalent","freeze provider and prompt before smoke"
"F01","RAVEN_B0","https://github.com/ScottBlizzard/RAVEN-M","08b21d06db165d1fb6908c457f955988061b10ca","ready","05_project","common_backbone","Qwen3-VL-32B-Instruct revision 0cfaf481...","project baseline","none; preserve frozen historical results"
"F02","RAVEN_M0","https://github.com/ScottBlizzard/RAVEN-M","08b21d06db165d1fb6908c457f955988061b10ca","ready","05_project","common_backbone","Qwen3-VL-32B-Instruct revision 0cfaf481...","project method","none; preserve frozen historical results"
"F03","GUI_Owl_1_5","https://github.com/X-PLUG/MobileAgent","11cea575561fb7800b5fb6b6cafa56f7a91de11f","code_ready_model_missing","03_code/third_party/MobileAgent/Mobile-Agent-v3.5/android_world_v3.5","native_system","GUI-Owl-1.5","official-code reproduction","pin exact checkpoint and serving recipe"
"F04","Mobile_Agent_v3_5","https://github.com/X-PLUG/MobileAgent","11cea575561fb7800b5fb6b6cafa56f7a91de11f","code_ready_model_missing","03_code/third_party/MobileAgent/Mobile-Agent-v3.5/android_world_v3.5","native_system","GUI-Owl-1.5 plus multi-agent framework","official-code reproduction","pin planner/operator models and prompts"
"F05","MobileUse_MultiAgent","https://github.com/MadeAgents/mobile-use","babec07fd0e5faa7e7bcc7d3d0ee2320f6b83347","code_ready_env_missing","03_code/third_party/mobile-use/benchmark/android_world","both_if_compatible","OpenAI-compatible VLM API; official template names Qwen2.5-VL-72B","official-code or common-backbone adapter","isolated Python 3.12 environment and fork compatibility"
"F06","ColorMobileAgent","https://github.com/MadeAgents/mobile-use","babec07fd0e5faa7e7bcc7d3d0ee2320f6b83347","code_ready_model_missing","03_code/third_party/mobile-use/benchmark/android_world","native_system","ColorGUI-32B","official-code reproduction","pin checkpoint and API serving recipe"
"F07","DroidRun","https://github.com/droidrun/droidrun-android-world","5090130394bc93a6e2bd8069e4c2d6b9c05aa112","code_ready_dependencies_missing","03_code/third_party/droidrun-android-world","native_system_privileged","LLM plus direct accessibility/tool interface","official-code reproduction","declare privileged observations and provision isolated runtime"
"F08","ScaleCUA","https://github.com/OpenGVLab/ScaleCUA","5d92feea9f1e14b8303ce37da45b286fb1f4d3aa","official_support_verified_clone_incomplete","03_code/third_party/ScaleCUA","native_system","ScaleCUA checkpoint served by vLLM","official-code candidate","GitHub transfer failed twice; complete source and model snapshot"
"F09","UI_TARS_1_5","https://github.com/bytedance/UI-TARS","582f3a7ea5d285ee8ed9e2e84048d1ab01453c49","remote_only","","native_system_candidate","UI-TARS-1.5","candidate pending runner audit","verify reproducible AndroidWorld runner and checkpoint access"
"F10","VLAA_GUI","https://github.com/UCSC-VLAA/VLAA-GUI","6a086a3e345bc5aa56418d0939e6435c09b5e0e9","remote_only","","mechanism_port_only","desktop agent framework","not an AndroidWorld reproduction","requires a new Android adapter; do not call direct reproduction"
"F11","K2_Agent","https://arxiv.org/abs/2603.00676","","paper_only_no_stable_official_repo_verified","","reported_reference_only","paper-specific planner and trained executor","not reproducible in quick lane","no stable named official repository verified on 2026-08-05"
