"repo_id","name","url","status","branch","commit","fetched_at","clone_dir"
"R001","android_world","https://github.com/google-research/android_world","already_present","main","3e50888527ef9f29b9157ecd537e408008bb1c85","2026-07-21T00:36:44","android_world"
"R002","Qwen3-VL","https://github.com/QwenLM/Qwen3-VL","already_present","main","96588727e44c78b25ba03ea03b8e12f7e64fd0da","2026-07-21T00:36:44","Qwen3-VL"
"R003","PG-Agent","https://github.com/chenwz-123/PG-Agent","already_present","main","60c0f989184177f140e1188f5b613f9fd57c2638","2026-07-21T00:36:45","PG-Agent"
"R004","MP-GUI","https://github.com/BigTaige/MP-GUI","already_present","main","eac17315eef8a8bbbe91b787efa23a57fc254ec8","2026-07-21T00:36:45","MP-GUI"
"R005","HAR-GUI","https://github.com/BigTaige/HAR-GUI","already_present","main","146f02860429fa26dceb230bdcf5be2759c37606","2026-07-21T00:36:45","HAR-GUI"
"R006","LAMO","https://github.com/BigTaige/LAMO","already_present","main","1409bceb622418f117c44ea1a5dceeb3ed37cf42","2026-07-21T00:36:46","LAMO"
"R008","Agent-S","https://github.com/simular-ai/Agent-S","cloned","main","73ea17225bae73ab45d077cc442978d3ff8e286a","2026-07-21T00:36:59","Agent-S"
"R009","mobile-use","https://github.com/MadeAgents/mobile-use","cloned","main","babec07fd0e5faa7e7bcc7d3d0ee2320f6b83347","2026-07-21T00:37:18","mobile-use"
"R010","agent-workflow-memory","https://github.com/zorazrw/agent-workflow-memory","cloned","main","8c0ff8cd11d648c8fceb99e4e42f37e3b75381b1","2026-07-21T00:37:28","agent-workflow-memory"
"R011","AAA","https://github.com/eaglelab-zju/AAA","cloned","master","e2c865d32414be4cbdf166c3077ba24c0b6277a8","2026-07-21T00:37:38","AAA"
